,national_number,gen,english_name,japanese_name,classification,primary_type,secondary_type,description,col_name,egg_group,color,habitat,shape
366,367,III,Huntail,Huntail,Deep Sea Pokémon,water,,It’s not the strongest swimmer. It wags its tail to lure in its prey and then gulps them down as soon as they get close.,,water1,blue,sea,squiggle
367,368,III,Gorebyss,Sakurabyss,South Sea Pokémon,water,,The color of its body changes with the water temperature. The coloration of Gorebyss in Alola is almost blindingly vivid.,,water1,pink,sea,squiggle
368,369,III,Relicanth,Glanth,Longevity Pokémon,water,rock,Rock-hard scales and oil-filled swim bladders allow this Pokémon to survive the intense water pressure of the deep sea.,,water2,gray,sea,fish
369,370,III,Luvdisc,Lovecus,Rendezvous Pokémon,water,,There was an era when it was overfished due to the rumor that having one of its heart-shaped scales would enable you to find a sweetheart.,,water2,pink,sea,fish
370,371,III,Bagon,Tatsubay,Rock Head Pokémon,dragon,,"Bagon jumps off cliffs every day, trying to grow stronger so that someday it will be able to fly.",,dragon,blue,rough-terrain,humanoid
371,372,III,Shelgon,Komoruu,Endurance Pokémon,dragon,,This Pokémon has covered its body in a hard shell that has the same composition as bone. Shelgon stores energy for evolution.,,dragon,white,rough-terrain,quadruped
372,373,III,Salamence,Bohmander,Dragon Pokémon,dragon,flying,Salamence is an unusual Pokémon in that it was able to evolve a body with wings just by constantly wishing to be able to fly.,,dragon,blue,rough-terrain,quadruped
373,374,III,Beldum,Dumbber,Iron Ball Pokémon,steel,psychic,"From its rear, Beldum emits a magnetic force that rapidly pulls opponents in. They get skewered on Beldum’s sharp claws.",,mineral,blue,rough-terrain,blob
374,375,III,Metang,Metang,Iron Claw Pokémon,steel,psychic,"Two Beldum have become stuck together via their own magnetic forces. With two brains, the resulting Metang has doubled psychic powers.",,mineral,blue,rough-terrain,arms
375,376,III,Metagross,Metagross,Iron Leg Pokémon,steel,psychic,"Because the magnetic powers of these Pokémon get stronger in freezing temperatures, Metagross living on snowy mountains are full of energy.",,mineral,blue,rough-terrain,heads
376,377,III,Regirock,Regirock,Rock Peak Pokémon,rock,,"Every bit of Regirock’s body is made of stone. As parts of its body erode, this Pokémon sticks rocks to itself to repair what’s been lost.",,no-eggs,brown,cave,humanoid
377,378,III,Regice,Regice,Iceberg Pokémon,ice,,"With cold air that can reach temperatures as low as −328 degrees Fahrenheit, Regice instantly freezes any creature that approaches it.",,no-eggs,blue,cave,humanoid
378,379,III,Registeel,Registeel,Iron Pokémon,steel,,Registeel’s body is made of a strange material that is flexible enough to stretch and shrink but also more durable than any metal.,,no-eggs,gray,cave,humanoid
379,380,III,Latias,Latias,Eon Pokémon,dragon,psychic,"Latias is highly sensitive to the emotions of people. If it senses any hostility, this Pokémon ruffles the feathers all over its body and cries shrilly to intimidate the foe.",,no-eggs,red,waters-edge,wings
380,381,III,Latios,Latios,Eon Pokémon,dragon,psychic,Latios has the ability to make others see an image of what it has seen or imagines in its head. This Pokémon is intelligent and understands human speech.,,no-eggs,blue,waters-edge,wings
381,382,III,Kyogre,Kyogre,Sea Basin Pokémon,water,,"Through Primal Reversion and with nature’s full power, it will take back its true form. It can summon storms that cause the sea levels to rise.",,no-eggs,blue,sea,fish
382,383,III,Groudon,Groudon,Continent Pokémon,ground,,"Groudon is said to be the personification of the land itself. Legends tell of its many clashes against Kyogre, as each sought to gain the power of nature.",,no-eggs,red,rough-terrain,upright
383,384,III,Rayquaza,Rayquaza,Sky High Pokémon,dragon,flying,Rayquaza is said to have lived for hundreds of millions of years. Legends remain of how it put to rest the clash between Kyogre and Groudon.,,no-eggs,green,rare,squiggle
384,385,III,Jirachi,Jirachi,Wish Pokémon,steel,psychic,"A legend states that Jirachi will make true any wish that is written on notes attached to its head when it awakens. If this Pokémon senses danger, it will fight without awakening.",,no-eggs,yellow,mountain,humanoid
385,386,III,Deoxys,Deoxys,DNA Pokémon,psychic,,The DNA of a space virus underwent a sudden mutation upon exposure to a laser beam and resulted in Deoxys. The crystalline organ on this Pokémon’s chest appears to be its brain.,,no-eggs,red,rare,humanoid
386,387,IV,Turtwig,Naetle,Tiny Leaf Pokémon,grass,,Photosynthesis occurs across its body under the sun. The shell on its back is actually hardened soil.,,plant,green,,quadruped
387,388,IV,Grotle,Hayashigame,Grove Pokémon,grass,,"It lives along water in forests. In the daytime, it leaves the forest to sunbathe its treed shell.",,plant,green,,quadruped
388,389,IV,Torterra,Dodaitose,Continent Pokémon,grass,ground,"Ancient people imagined that beneath the ground, a gigantic Torterra dwelled.",,plant,green,,quadruped
389,390,IV,Chimchar,Hikozaru,Chimp Pokémon,fire,,Its fiery rear end is fueled by gas made in its belly. Even rain can’t extinguish the fire.,,humanshape,brown,,upright
390,391,IV,Monferno,Moukazaru,Playful Pokémon,fire,fighting,It skillfully controls the intensity of the fire on its tail to keep its foes at an ideal distance.,,humanshape,brown,,upright
391,392,IV,Infernape,Goukazaru,Flame Pokémon,fire,fighting,Its crown of fire is indicative of its fiery nature. It is beaten by none in terms of quickness.,,humanshape,brown,,upright
392,393,IV,Piplup,Pochama,Penguin Pokémon,water,,It doesn’t like to be taken care of. It’s difficult to bond with since it won’t listen to its Trainer.,,ground,blue,,humanoid
393,394,IV,Prinplup,Pottaishi,Penguin Pokémon,water,,"It lives alone, away from others. Apparently, every one of them believes it is the most important.",,ground,blue,,upright
394,395,IV,Empoleon,Emperte,Emperor Pokémon,water,steel,It swims as fast as a jet boat. The edges of its wings are sharp and can slice apart drifting ice.,,ground,blue,,upright
395,396,IV,Starly,Mukkuru,Starling Pokémon,normal,flying,"They flock in great numbers. Though small, they flap their wings with great power.",,flying,brown,,wings
396,397,IV,Staravia,Mukubird,Starling Pokémon,normal,flying,"They maintain huge flocks, although fierce scuffles break out between various flocks.",,flying,brown,,wings
397,398,IV,Staraptor,Mukuhawk,Predator Pokémon,normal,flying,The muscles in its wings and legs are strong. It can easily fly while gripping a small Pokémon.,,flying,brown,,wings
398,399,IV,Bidoof,Bippa,Plump Mouse Pokémon,normal,,"With nerves of steel, nothing can perturb it. It is more agile and active than it appears.",,ground,brown,,quadruped
399,400,IV,Bibarel,Beadaru,Beaver Pokémon,normal,water,It busily makes its nest with stacks of branches and roots it has cut up with its sharp incisors.,,ground,brown,,upright
400,401,IV,Kricketot,Korobohshi,Cricket Pokémon,bug,,It chats with others using the sounds of its colliding antennae. These sounds are fall hallmarks.,,bug,red,,humanoid
401,402,IV,Kricketune,Korotock,Cricket Pokémon,bug,,It crosses its knifelike arms in front of its chest when it cries. It can compose melodies ad lib.,,bug,red,,bug-wings
402,403,IV,Shinx,Kolink,Flash Pokémon,electric,,This Pokémon generates electricity by contracting its muscles. Excited trembling is a sign that Shinx is generating a tremendous amount of electricity.,,ground,blue,,quadruped
403,404,IV,Luxio,Luxio,Spark Pokémon,electric,,"By joining its tail with that of another Luxio, this Pokémon can receive some of the other Luxio’s electricity and power up its own electric blasts.",,ground,blue,,quadruped
404,405,IV,Luxray,Rentorar,Gleam Eyes Pokémon,electric,,"Luxray can see through solid objects. It will instantly spot prey trying to hide behind walls, even if the walls are thick.",,ground,blue,,quadruped
405,406,IV,Budew,Subomie,Bud Pokémon,grass,poison,"The pollen it releases contains poison. If this Pokémon is raised on clean water, the poison’s toxicity is increased.",,no-eggs,green,,humanoid
406,407,IV,Roserade,Roserade,Bouquet Pokémon,grass,poison,"After captivating opponents with its sweet scent, it lashes them with its thorny whips.",,plant,green,,humanoid
407,408,IV,Cranidos,Zugaidos,Head Butt Pokémon,rock,,"A primeval Pokémon, it possesses a hard and sturdy skull, lacking any intelligence within.",,monster,blue,,upright
408,409,IV,Rampardos,Rampald,Head Butt Pokémon,rock,,"In ancient times, people would dig up fossils of this Pokémon and use its skull, which is harder than steel, to make helmets.",,monster,blue,,upright
409,410,IV,Shieldon,Tatetops,Shield Pokémon,rock,steel,"A mild-mannered, herbivorous Pokémon, it used its face to dig up tree roots to eat. The skin on its face was plenty tough.",,monster,gray,,quadruped
410,411,IV,Bastiodon,Torideps,Shield Pokémon,rock,steel,"The bones of its face are huge and hard, so they were mistaken for its spine until after this Pokémon was successfully restored.",,monster,gray,,quadruped
411,412,IV,Burmy,Minomucchi,Bagworm Pokémon,bug,,"To shelter itself from cold, wintry winds, it covers itself with a cloak made of twigs and leaves.",,bug,green,,blob
412,413,IV,Wormadam,Minomadam,Bagworm Pokémon,bug,grass,Its appearance changes depending on where it evolved. The materials on hand become a part of its body.,,bug,green,,blob
413,414,IV,Mothim,Gamale,Moth Pokémon,bug,flying,It loves the honey of flowers and steals honey collected by Combee.,,bug,yellow,,bug-wings
414,415,IV,Combee,Mitsuhoney,Tiny Bee Pokémon,bug,flying,The members of the trio spend all their time together. Each one has a slightly different taste in nectar.,,bug,yellow,,heads
415,416,IV,Vespiquen,Beequen,Beehive Pokémon,bug,flying,It skillfully commands its grubs in battles with its enemies. The grubs are willing to risk their lives to defend Vespiquen.,,bug,yellow,,bug-wings
416,417,IV,Pachirisu,Pachirisu,EleSquirrel Pokémon,electric,,It makes fur balls that crackle with static electricity. It stores them with berries in tree holes.,,fairy,white,,quadruped
417,418,IV,Buizel,Buoysel,Sea Weasel Pokémon,water,,"It swims by rotating its two tails like a screw. When it dives, its flotation sac collapses.",,ground,brown,,quadruped
418,419,IV,Floatzel,Floazel,Sea Weasel Pokémon,water,,It floats using its well-developed flotation sac. It assists in the rescues of drowning people.,,ground,brown,,quadruped
419,420,IV,Cherubi,Cherinbo,Cherry Pokémon,grass,,"It nimbly dashes about to avoid getting pecked by bird Pokémon that would love to make off with its small, nutrient-rich storage ball.",,plant,pink,,heads
420,421,IV,Cherrim,Cherrim,Blossom Pokémon,grass,,"As a bud, it barely moves. It sits still, placidly waiting for sunlight to appear.",,plant,purple,,legs
421,422,IV,Shellos,Karanakushi,Sea Slug Pokémon,water,,"This Pokémon’s habitat shapes its physique. According to some theories, life in warm ocean waters causes this variation to develop.",,indeterminate,purple,,squiggle
422,423,IV,Gastrodon,Tritodon,Sea Slug Pokémon,water,ground,"Its search for food sometimes leads it onto land, where it leaves behind a sticky trail of slime as it passes through.",,indeterminate,purple,,squiggle
423,424,IV,Ambipom,Eteboth,Long Tail Pokémon,normal,,"In their search for comfortable trees, they get into territorial disputes with groups of Passimian. They win about half the time.",,ground,purple,,upright
424,425,IV,Drifloon,Fuwante,Balloon Pokémon,ghost,flying,"Perhaps seeking company, it approaches children. However, it often quickly runs away again when the children play too roughly with it.",,indeterminate,purple,,arms
425,426,IV,Drifblim,Fuwaride,Blimp Pokémon,ghost,flying,"Some say this Pokémon is a collection of souls burdened with regrets, silently drifting through the dusk.",,indeterminate,purple,,arms
426,427,IV,Buneary,Mimirol,Rabbit Pokémon,normal,,"If both of Buneary’s ears are rolled up, something is wrong with its body or mind. It’s a sure sign the Pokémon is in need of care.",,humanshape,brown,,upright
427,428,IV,Lopunny,Mimilop,Rabbit Pokémon,normal,,"Lopunny is constantly monitoring its surroundings. If danger approaches, this Pokémon responds with superdestructive kicks.",,humanshape,brown,,upright
428,429,IV,Mismagius,Mumargi,Magical Pokémon,ghost,,"Feared for its wrath and the curses it spreads, this Pokémon will also, on a whim, cast spells that help people.",,indeterminate,purple,,ball
